File,Line,Pattern,Match,Context
DialogShop.java,91,getDrawable,getDrawable(getResources(),"layoutAdventurerBinding.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().getTheme()));"
DialogStorage.java,351,getDrawable,getDrawable(getResources(),"this.binding.filtersArrow.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.filtersHidden ? R.drawable.menu_lift : R.drawable.menu_dro"
DialogStorage.java,351,R_drawable_variable,R.drawable.menu_lift,"this.binding.filtersArrow.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.filtersHidden ? R.drawable.menu_lift : R.drawable.menu_dro"
DialogStorage.java,351,R_drawable_variable,R.drawable.menu_drop,"this.binding.filtersArrow.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.filtersHidden ? R.drawable.menu_lift : R.drawable.menu_dro"
DialogTavern.java,64,getDrawable,getDrawable(getResources(),"this.binding.lock.setBackground(ResourcesCompat.getDrawable(getResources(), MainActivity.data.isTavernLocked() ? R.drawable.lock_close : R.drawable.lo"
DialogTavern.java,64,R_drawable_variable,R.drawable.lock_close,"this.binding.lock.setBackground(ResourcesCompat.getDrawable(getResources(), MainActivity.data.isTavernLocked() ? R.drawable.lock_close : R.drawable.lo"
DialogTavern.java,64,R_drawable_variable,R.drawable.lock_open,"this.binding.lock.setBackground(ResourcesCompat.getDrawable(getResources(), MainActivity.data.isTavernLocked() ? R.drawable.lock_close : R.drawable.lo"
DialogTavern.java,233,getDrawable,getDrawable(getContext(),"layoutTavernAdventurerBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), next.getImageId(), getContext().g"
DialogTavern.java,239,getDrawable,getDrawable(getResources(),"layoutTavernAdventurerBindingInflate.recruitButton.setBackground(ResourcesCompat.getDrawable(getResources(), R.drawable.object_border_unavailable_roun"
DialogTavern.java,239,R_drawable_variable,R.drawable.object_border_unavailable_rounded_right,"layoutTavernAdventurerBindingInflate.recruitButton.setBackground(ResourcesCompat.getDrawable(getResources(), R.drawable.object_border_unavailable_roun"
